"gene","TF_symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","log2FC","standardized_diff_MTC456_minus_MTC123","OddsRatio","FDR","Significance","pct_in_dorothea","pct_in_collectri","Corroborated"
"PBX1","PBX1",0,0.00683790093841572,0.239,0.016,0,"MTC_456",0.00683790093841572,0.617845594549548,0.448460500713289,0.273793584471112,"NS",0,0,"Novel"
"PLAG1","PLAG1",0,0.0222208948803992,1,1,0,"MTC_123",-0.0222208948803992,-1.49355702453043,1.36139186911366,0.0463618532626099,"Significant",0,0.175131348511384,"Corroborated"
"POU2F1","POU2F1",0,0.0054198946418071,0.944,0.533,0,"MTC_123",-0.0054198946418071,-0.942237291074598,0.855090135452618,0.624631577425774,"NS",0,0,"Novel"
"POU2F2","POU2F2",1.95547884709315e-101,0.0170181577308213,0.501,0.385,4.59537529066889e-99,"MTC_123",-0.0170181577308213,-0.204495740474938,8.20959170423597,0.705634762018071,"NS",0,0,"Novel"
"POU3F2","POU3F2",0,0.00245286863060091,0.811,0.432,0,"MTC_123",-0.00245286863060091,-0.462551890687937,0.301192506366215,3.09577023020805e-07,"Significant",0,0,"Novel"
"PPARG","PPARG",0,0.0640151302278838,1,1,0,"MTC_456",0.0640151302278838,1.66569745996892,0.962552957052678,0.863214179539536,"NS",0,3.71621621621622,"Corroborated"
"PRDM1","PRDM1",0,0.0480561565496015,0.916,0.763,0,"MTC_123",-0.0480561565496015,-0.67473740234405,0.794120223675121,0.705634762018071,"NS",0,0,"Novel"
"PURA","PURA",0,0.0231365595962069,1,1,0,"MTC_123",-0.0231365595962069,-1.42670189983121,1.93243614651176,1.20172083915433e-07,"Significant",0,0.113122171945701,"Corroborated"
"RARB","RARB",1.21916807213875e-32,0.00314327701891314,0.29,0.237,2.86504496952606e-30,"MTC_123",-0.00314327701891314,-0.188311232882364,0.306084750256378,0.0177154466182293,"Significant",0,0,"Novel"
"RELB","RELB",0,0.0357004079959028,0.719,0.181,0,"MTC_456",0.0357004079959028,1.12089552253908,0.482990243407235,0.292993769313932,"NS",0,21.0526315789474,"Corroborated"
"REST","REST",2.97102305683276e-92,0.00386917185342196,0.165,0.088,6.98190418355698e-90,"MTC_456",0.00386917185342196,0.259456979993487,0.0861376311794497,0.00205902039225842,"Significant",0,0,"Novel"
"RFX5","RFX5",1.93609997577806e-17,0.00121007512715741,0.566,0.534,4.54983494307844e-15,"MTC_123",-0.00121007512715741,-0.175761463332596,0.728353901889399,0.543424312598939,"NS",0,0,"Novel"
"RFXANK","RFXANK",0,0.0556604927975282,0.868,0.565,0,"MTC_456",0.0556604927975282,0.962088335839767,0.863590246746398,1,"NS",0,0,"Novel"
"RXRA","RXRA",1.11421109538887e-137,0.00016772502747921,1,0.996,2.61839607416386e-135,"MTC_123",-0.00016772502747921,-0.0313143265343095,0.811185940742405,0.284180219873617,"NS",0,1.04895104895105,"Corroborated"
