"assay","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","pos_avgLFC","avg_LFC"
"Adapt_CCL3","PPID",0.261694436425163,5.3333813589854,1.67766036391233,0.103152316555487,0.295534196887105,-5.20205534600318,1.62975959450828,0.380756170278727,0.322178297928154
"Adapt_HIF1A","DDX17",0.982878427343072,7.80266577448859,1.68453000879841,0.103184740848583,0.295616062096783,-4.58577915044809,1.62960625836902,0.390781435811564,0.390781435811564
"Adapt_CCL3","MAD2L2",-0.438213978739527,4.65703273000642,-1.67737362185286,0.103208818028566,0.295674008275343,-5.19103161523789,-1.62949242093878,-0.49616658313948,-0.305333281931988
"Adapt_CCL3","CD302",0.438061311279331,7.43087469760352,1.68096637704493,0.103221898690353,0.295686011667031,-5.14140724149614,1.62943058413692,0.613325988999189,0.566147066768482
"Adapt_CCL3","BICRAL",0.347148716015348,3.43141525816241,1.67728410172539,0.103226462921208,0.295686011667031,-5.09034019181516,1.62940900890898,0.29882856156542,0.114934062140546
"Adapt_CCL3","FLNA",-1.35845176827842,2.06666637535086,-1.68166814544235,0.103227047706477,0.295686011667031,-4.9914052485942,-1.6294062446699,-1.03901341504533,-0.239772326548923
"Adapt_IFI44L","POLD3",0.660150639378488,3.95896552828658,1.67319797643692,0.103228412893485,0.295686011667031,-4.79566757192389,1.62939979157483,0.630102860196488,0.339286155490417
"Adapt_HIST","YY1",0.572121336805409,7.05517099757053,1.67999206452175,0.10323514959843,0.295694276467772,-4.53056028326858,1.62936794887422,0.746327743172981,0.631508090377138
"Adapt_CCL3","METAP2",-0.253438346031863,7.12792881128516,-1.68083061187651,0.10324763910164,0.295714072198739,-5.16781464333688,-1.62930891852138,-0.172285596220673,-0.159032858049852
"Adapt_CCL3","ABRACL",-0.415842733691663,5.42142103848948,-1.67732554826703,0.103249764036516,0.295714072198739,-5.10261629473739,-1.62929887580029,-0.331251506150542,-0.280289735973535
"PVM_CD163","F13A1",1.01815598840277,8.58739716929853,1.64646307534003,0.10326526439392,0.295745152966179,-4.83844029646575,1.62922562404769,1.03562564846882,0.159327022841357
"Adapt_HIST","WDR41",0.652985129712166,5.08776140128094,1.68031523795249,0.103270505916366,0.295745152966179,-4.41096488022804,1.62920085558342,0.24785174205481,0.133458630337205
"Adapt_CCL3","PCNX4",0.178265762258953,5.42201059853443,1.68072466750795,0.103272172017964,0.295745152966179,-5.15506218880439,1.62919298274092,-0.121973289201314,-0.0938256070779337
"Adapt_HSPA1A","MAP11",0.249195760462569,4.69557068571099,1.67734345817653,0.103288077049988,0.295779244754088,-5.13951805423952,1.62911783165536,0.264035664784298,0.12186261451583
"Homeo_PICALM","NT5C",-0.769353350572672,7.71527022360374,-1.66909424132347,0.103298762441869,0.295779244754088,-4.38867053539448,-1.62906734847343,-0.142802070711689,-0.131817296041559
"Homeo_PICALM","CTSC",0.491434951287363,9.0291473197481,1.65162807802502,0.103300587065809,0.295779244754088,-4.57833405254107,1.62905872844442,0.0906526755000604,0.0906526755000604
"Adapt_CCL3","NEK5",-0.498849616807411,0.351853658809894,-1.6826308716281,0.103303126675247,0.295779244754088,-4.64084664897495,-1.62904673082732,-0.268953589838,-0.0620662130395384
"Adapt_HSPA1A","SERBP1",0.334833339021535,8.13386293924849,1.73413021073037,0.103303895886727,0.295779244754088,-4.94838379363321,1.62904309696647,0.372436257490794,0.372436257490794
"Prolif_MKI67","RBL2",-0.85411979170853,4.35707908866887,-1.67657078849485,0.103308814277929,0.295779244754088,-4.63361527274834,-1.62901986231833,0.318627020879274,0.220587937531805
"Homeo_CECR2","AC005632.3",-0.938782421354728,5.81366951940007,-1.67113647377228,0.10331104375751,0.295779244754088,-4.37810664822079,-1.62900933047025,-0.572954840266891,-0.264440695507796
"Adapt_HSPA1A","HNRNPR",0.306199219007979,7.11062098600541,1.67914406839647,0.103315548428259,0.295781101953961,-5.1159208788586,1.62898805138828,-0.00730923124447935,-0.00730923124447935
"Adapt_HIST","PSMB6",0.563471540074517,7.09588499949861,1.67656195047814,0.103320822259971,0.295781101953961,-4.46515189588633,1.62896313989495,-0.081218840211134,-0.0687236340248057
"Adapt_CCL3","PHACTR1",0.506734961385195,7.72721389183753,1.68295429421657,0.10332324985875,0.295781101953961,-5.07982850728202,1.62895167321905,0.0540784514821982,0.0457586897157062
"ADAM_GPNMB","MPHOSPH9",0.632794812294624,3.85425255335792,1.67318048978182,0.10335184546145,0.295851930912113,-4.81807574848386,1.6288166190316,0.150356156227094,0.0809610071992044
"ADAM_GPNMB","FAM177A1",-0.422751334545839,5.98163614487092,-1.67405758469059,0.103358489830296,0.295859919979891,-4.97437111337153,-1.62878524259155,-0.147547170421438,-0.113497823401106
"Adapt_TMEM163","PDE4B",0.722724629553327,6.33208399762738,1.63729777062968,0.103379632820945,0.295907575953276,-5.09070859194931,1.62868541055162,0.0398399984387933,0.0306461526452256
"ADAM_GPNMB","DNPH1",-0.483398070781484,6.06838086515995,-1.6730183401011,0.10338284665161,0.295907575953276,-5.09069644907547,-1.62867023704899,0.239276839270055,0.184059107130812
"Adapt_HSPA1A","PAK6",-0.705092299030105,0.230017830844564,-1.67750911900447,0.103391389353844,0.295920995355827,-4.62823154303123,-1.62862990609517,-0.355265192023855,-0.0546561833882854
"Homeo_CECR2","RPA1",-0.755433333662233,5.19683714880552,-1.66895757950913,0.103409206686623,0.295960958092107,-4.45010830902343,-1.62854579720402,-0.256815914251844,-0.177795632943585
"Adapt_IFI44L","A2M",0.345123918137197,10.0272426956326,1.67220896395952,0.103424679555295,0.295994208156592,-5.20701514413618,1.62847276498695,0.455654523717352,0.455654523717352
"Adapt_HIST","POLR1A",0.796629524503641,4.12552166763891,1.67540543534537,0.103466197771057,0.296093413604738,-4.45369984731918,1.62827684117589,0.129302063916855,0.0596778756539332
"Prolif_MKI67","STIM2",-0.466948416017447,4.90509643828898,-1.64259589801616,0.103467056457032,0.296093413604738,-5.01108447366014,-1.62827278970987,0.52350803142272,0.402698485709785
"Homeo_CECR2","TIFA",0.811169169359621,5.14951427128123,1.67192260726312,0.103482749193089,0.296127284189258,-4.39793124615026,1.62819875269646,-1.00921420585053,-0.776318619885027
"Adapt_AIF1","NAIF1",-0.396046181257171,2.17444010819804,-1.67342828829103,0.103496115702468,0.296154495743296,-5.08568982664095,-1.6281356976633,-0.346260223605666,-0.0799062054474613
"Adapt_AIF1","BIRC6",0.321015009127744,5.60644976419839,1.67796600697948,0.103505583697139,0.296160543355118,-5.35748436721562,1.62809103735944,0.188681614972817,0.145139703825244
"Adapt_IFI44L","TCEAL1",-0.394891989667684,5.39710031096805,-1.67179482410612,0.103506956286917,0.296160543355118,-4.97066390326436,-1.62808456315587,-0.122452170742639,-0.103613375243772
"Homeo_CECR2","TRIM34",1.13684121910213,5.24848724787388,1.70442155420156,0.103509801377903,0.296160543355118,-4.27182290599909,1.62807114370585,0.842425015623483,0.518415394229836
"Adapt_CCL3","C17orf58",-0.485267226555873,3.16279901618005,-1.74869999817385,0.103517062911832,0.296170282809081,-5.02324956300467,-1.62803689453387,-0.261086478249543,-0.0803343009998595
"PVM_CD163","RAB3GAP2",1.32192038981706,4.98023160270462,1.67600761511824,0.10352408872106,0.296179347135817,-4.39848379455181,1.62800375897983,-0.0834114132582159,-0.064162625583243
"Adapt_CCL3","ERAP1",0.259157719640045,4.47623309016888,1.6757592196144,0.103531242740341,0.296188777578537,-5.09104115832431,1.62797002059027,0.0589751099747564,0.040828922290216
"PVM_CD163","NPM1",-0.595534368643422,9.62905853529745,-1.64661632906036,0.103536793491322,0.296190049658022,-4.75270662796229,-1.6279438444984,-0.18429212964452,-0.170115811979557
"Adapt_HIF1A","NTMT1",-0.594389537794118,5.49284158121124,-1.68678770878884,0.103539402982295,0.296190049658022,-4.84884135857545,-1.62793153911194,-0.104299867794448,-0.0802306675341905
"Adapt_AIF1","USP10",-0.225252631066826,5.62585590739901,-1.67318856532535,0.103543652748699,0.296191170904876,-5.42896835311837,-1.62791149932576,-0.00865408128047498,-0.0073226841604019
"Adapt_HIF1A","H1F0",-0.97538495087348,5.91642515009067,-1.65534294217209,0.103557825214741,0.296220675329242,-4.51702505236784,-1.62784467374479,0.14283977096241,0.109876746894162
"Adapt_AIF1","SUPT7L",-0.215597134918036,4.62793779184349,-1.71160760863664,0.103575289131465,0.296256227343745,-5.26132273989286,-1.6277623384122,-0.448025689511413,-0.241244602044607
"Adapt_HSPA1A","GPRIN3",0.474871405091299,6.37814085215752,1.68258010357428,0.103577971405345,0.296256227343745,-5.07901965334111,1.62774969354884,0.684245852905833,0.526342963773718
"Homeo_CECR2","TRPM2",0.96763188975113,5.92530868172739,1.66916850315538,0.103586242361905,0.296268847035463,-4.37591760687113,1.62771070397313,0.28817194676561,0.221670728281239
"Adapt_HSPA1A","CHTOP",-0.204339604391711,6.49399101076667,-1.67469050280961,0.103594014842182,0.296280040139251,-5.17646538123023,-1.62767406648696,-0.267120222111579,-0.205477093931984
"Adapt_AIF1","SLC16A3",-0.572325047438877,8.55743828256191,-1.67443696122451,0.103605974165549,0.296303206381149,-5.45240239485814,-1.62761769755904,-0.67333102185287,-0.621536327864188
"Adapt_HIST","PEX26",0.751638688839717,4.59474518789904,1.67444180593192,0.103610696810142,0.296305675456934,-4.467037273673,1.62759543932829,-0.0790241085266191,-0.0425514430527949
"Adapt_CCL3","AC073195.1",-0.49699642710049,1.55585294290619,-1.75614468366463,0.103617249948746,0.296306724590641,-4.75552953432343,-1.62756455515729,-0.243145527413083,-0.0374070042173974
"Adapt_IFI44L","REXO1",0.698916964334074,3.62963341406032,1.67454594821867,0.103621912124766,0.296306724590641,-4.72489998442728,1.62754258381547,0.460178490088971,0.247788417740215
"Adapt_CCL3","B3GAT3",-0.369640694610961,6.17182978178541,-1.70670743553642,0.103625126054203,0.296306724590641,-5.10250411604386,-1.62752743805326,-0.44075207677595,-0.372944064964265
