"assay","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","cluster","gene","pos_avgLFC"
"Myeloid","ARL11",0.180531014853497,5.09238749050759,1.13414608900641,0.266106563398841,0.449479563973738,-5.63285338651565,1.11207346785341,"Unfavorable_Myeloid","ARL11",0.180531014853497
"T Cells","ING3",0.183703338352014,5.89624543098579,1.13153964495139,0.266118935553617,0.449479563973738,-5.76506781404861,1.11204469082583,"Unfavorable_T Cells","ING3",-0.104989577172099
"Myeloid","GALNS",-0.347563408149463,3.38689372788329,-1.13498284773636,0.266138887626129,0.449479563973738,-5.61042319931804,-1.11199828521983,"Favorable_Myeloid","GALNS",-0.347563408149463
"Myeloid","ARGLU1",0.228057277563545,8.36680742711098,1.13214308937695,0.26614114493208,0.449479563973738,-5.65348805205737,1.11199303520673,"Unfavorable_Myeloid","ARGLU1",0.35482673797096
"NEUT","PSMD4",-0.151726472164446,7.31139897959798,-1.13883193450495,0.266141648329496,0.449479563973738,-6.05750223523221,-1.11199186441569,"Favorable_NEUT","PSMD4",-0.273456427089572
"Myeloid","ABHD18",-0.141474877683721,3.88669957913518,-1.15320886843581,0.266159711202235,0.449479563973738,-5.71871665827641,-1.1119498551775,"Favorable_Myeloid","ABHD18",-0.141474877683721
"MONO","IRAK1",-0.407594411712305,5.97686243322472,-1.18917618669282,0.266213672978953,0.449536525301669,-5.56664533144265,-1.11182436671983,"Favorable_MONO","IRAK1",-0.411380214207299
"Myeloid","CDAN1",0.419944717226902,1.04720182724073,1.13157611295205,0.266301919278434,0.44962191900849,-5.10546366069283,1.11161918710415,"Unfavorable_Myeloid","CDAN1",0.419944717226902
"NEUT","LILRA1",0.330692005951692,7.24645220158347,1.13772578826226,0.266304714620448,0.44962191900849,-5.90364596905149,1.11161268847786,"Unfavorable_NEUT","LILRA1",-0.143328909380286
"MONO","CH25H",0.588121192021239,7.37013585345709,1.17790028439753,0.266498386420354,0.449914721364171,-5.76843486253615,1.11116255347413,"Unfavorable_MONO","CH25H",0.047238160769687
"Myeloid","CNTNAP2",0.634281834375956,3.35450409829842,1.13352496376666,0.26652387592097,0.449919672137446,-5.46212618710028,1.11110332714541,"Unfavorable_Myeloid","CNTNAP2",0.634281834375956
"NEUT","CAMLG",-0.219662306079291,6.60591355489818,-1.13971075832105,0.26654181755908,0.449919672137446,-5.78736133638486,-1.11106164104879,"Favorable_NEUT","CAMLG",-0.113648597555292
"T Cells","IRF2BP2",0.162468702071494,6.57415365275562,1.13034774595693,0.26661328790213,0.450006126093697,-5.86292501168283,1.11089560404409,"Unfavorable_T Cells","IRF2BP2",-0.137281731168836
"NEUT","LRRC25",0.191787996035126,8.36137301168186,1.13570577692246,0.266654381373022,0.450041298877872,-6.02338830039043,1.11080015122295,"Unfavorable_NEUT","LRRC25",-0.19290054311631
"NEUT","PIM3",0.246611082431601,6.98420883490773,1.1370956202075,0.266807540581312,0.450265588954594,-5.73763274673442,1.11044447875549,"Unfavorable_NEUT","PIM3",-0.257263098933742
"MONO","EIF3J",-0.260133358080155,7.19031805699094,-1.13152406498187,0.266966121142227,0.450495122790691,-5.71852797343241,-1.11007636456576,"Favorable_MONO","EIF3J",-0.511587080892292
"T Cells","BABAM2",-0.237929313542388,5.78138387123327,-1.13043939967889,0.266990241251809,0.450495122790691,-5.48071220915884,-1.1100203875616,"Favorable_T Cells","BABAM2",-0.185987197808469
"Myeloid","CREB3",-0.238905434701022,4.75324467209292,-1.12988227124312,0.26700437787617,0.450495122790691,-5.87670756645455,-1.10998758145491,"Favorable_Myeloid","CREB3",-0.184409013356224
"Myeloid","SLC35F6",-0.289332314982507,5.2799916993145,-1.13005713479925,0.267057344511186,0.450529383162201,-5.80120335228632,-1.10986467524481,"Favorable_Myeloid","SLC35F6",-0.199946428852092
"Myeloid","RANGAP1",0.134101332359828,4.66189327488024,1.13098004523976,0.267065237212717,0.450529383162201,-5.73262847384216,1.10984636209328,"Unfavorable_Myeloid","RANGAP1",0.134101332359828
