source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
MTC_456,T Cells,S100A8,CD69,1.5950415,0.0,2.0502503,0.92734116,0.78624964,0.034186788,0.9184383,0.027945114941359442,0.0,0.03531097196761526,0.038803576561808266
B Cells,MTC_123,HSPA8,ADRB2,1.582118,0.0,1.931492,0.16133922,0.4872136,0.053995263,0.9161753,0.02912194221755564,0.0,0.04181667545345353,0.039222506474336435
NEUT,MONO,HLA-C,LILRB2,1.7403295,0.0,1.8362381,0.7107163,0.86578006,0.04215765,0.91421276,0.027846747279027084,0.0,0.014529270779358382,0.03926621074568051
NEUT,MTC_456,GNAI2,FPR1,1.5815,0.0,2.49209,0.410449,0.8915061,0.047816534,0.92545587,0.06420867265917643,0.0,0.014529270779358382,0.03930384647047193
NEUT,MTC_Prolif,AGTRAP,RACK1,1.5803584,0.0,1.8983222,0.6534119,0.59229505,0.040335026,0.91550773,0.04665236636282047,0.0,0.014529270779358382,0.03979414435869491
B Cells,NEUT,HLA-B,LILRA1,1.8505238,0.0,1.8306426,0.8929456,0.93656635,0.0699456,0.914093,0.02762828974752253,0.0,0.014529270779358382,0.039966728304752466
MTC_456,NEUT,HLA-C,LILRB2,1.576997,0.0,2.2957428,0.8198011,0.6967876,0.052707277,0.92257524,0.06720877649790355,0.0,0.014529270779358382,0.040123164156043195
MONO,MTC_123,VCAN,ITGB1,1.6657026,0.0,1.7366554,1.5069245,2.0201592,0.05381234,0.9120009,0.02755858458957667,0.0,0.014529270779358382,0.040319951529972885
MTC_456,B Cells,S100A8,CD69,1.5750065,0.0,2.0144975,0.9079908,0.6954216,0.03359063,0.91777694,0.028588752296440208,0.0,0.03935820072945274,0.040619934687196144
NEUT,MONO,HLA-A,LILRB2,1.7286019,0.0,1.8210319,0.70263445,0.8125288,0.040766194,0.91388613,0.0274410106326011,0.0,0.014529270779358382,0.04103234898923464
MTC_Prolif,MTC_123,HSPA8,ADRB2,1.572155,0.0,1.9150316,0.15347958,0.40281928,0.05353511,0.9158461,0.027513439757805475,0.0,0.047283031918955123,0.04137240640410787
