moa,AvgRank_moa,MOA.pseudo.zscore,N_compounds_moa,MOA.MW.p,Rank_moa,MOA.MW.FDR
DNA directed DNA polymerase inhibitor,50708.6872132529,-0.169668299361039,6,0.614011556678547,216,0.921330740026204
tankyrase inhibitor,50720.4796825397,-0.170229533622034,3,0.686227834970201,217,0.925088604285709
P glycoprotein inhibitor,50765.3044978633,-0.186503021000198,6,0.63720579263235,218,0.925088604285709
hepatocyte growth factor receptor inhibitor,50903.1457417582,-0.183791228310915,2,0.756692169750395,219,0.925088604285709
AXL kinase inhibitor,50979.4828846154,-0.189952383173787,2,0.745440828538659,220,0.925088604285709
PLK inhibitor,50989.2335656074,-0.203969862546744,6,0.505054978565979,221,0.885974910226924
norepinephrine reputake inhibitor,51004.0907814408,-0.187564951630786,4,0.580778122587781,222,0.920408974072106
HCN channel blocker,51005.675,-0.1877088250529,2,0.73983528437834,223,0.925088604285709
adenosine reuptake inhibitor,51028.2715384616,-0.189526885064549,2,0.7635487632805,224,0.925088604285709
TP53 activator,51075.8947121821,-0.191894443153847,2,0.764760695182907,225,0.925088604285709
DNA inhibitor,51097.9527130116,-0.211308460068366,13,0.334471536188671,226,0.85701610097089
thymidylate synthase inhibitor,51146.5711209453,-0.20205805518994,7,0.481806758514958,227,0.885974910226924
bacterial 30S ribosomal subunit inhibitor,51161.5549007937,-0.157830041663255,12,0.558950488698992,228,0.920408974072106
beta lactamase inhibitor,51223.485,-0.206319505500458,2,0.71044140749509,229,0.925088604285709
metalloproteinase inhibitor,51286.0370562771,0.0726669759347939,5,0.85794924510561,230,0.942981658970638
thyroid hormone stimulant,51319.7391025641,-0.114541254857254,3,0.82574980191331,231,0.934277311118728
xanthine oxidase inhibitor,51333.2845430108,-0.185774458981584,4,0.726108408297234,232,0.925088604285709
non-nucleoside reverse transcriptase inhibitor,51431.5745726496,-0.217670811156871,6,0.420001879488967,233,0.87660509119122
glucocorticoid receptor antagonist,51446.918968254,-0.211082157930015,3,0.581310930992909,234,0.920408974072106
dopamine receptor agonist,51589.0743554858,-0.248747295600175,21,0.252385535193708,235,0.84801601503702
insulin sensitizer,51590.4226689052,-0.272203263380675,7,0.411317382586273,236,0.87660509119122
