assay,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,diffexpressed,cluster,pos_avgLFC,avg_LFC,gene
Myeloid,AVEN,2.8673649172876017,1.4655006919981248,5.035891915051145,2.2070852992276598e-5,0.0018197893650232244,2.5636608594217423,4.2428402704206505,NS,Bad_Myeloid,2.8673649172876017,0.7168412293219004,AVEN
NEUT,TNFAIP2,1.6416641409320256,7.572947713632417,4.992534846185917,8.013513175963268e-5,0.003364152052312184,2.0923758888412225,3.943995591105118,NS,Bad_NEUT,0.9582470511274132,0.7186852883455599,TNFAIP2
Myeloid,TNFAIP2,0.9153011840822405,5.298884298253341,3.0117130639011545,0.005096625711701527,0.034114485894450784,-2.350182448347199,2.8008623271981876,NS,Bad_Myeloid,0.9582470511274132,0.7186852883455599,TNFAIP2
MONO,TNFAIP2,0.31777582836797347,6.9489582745164205,0.9213518464437532,0.36565732840510656,0.5461980062126471,-5.782936261138291,0.9046377519866714,NS,Bad_MONO,0.9582470511274132,0.7186852883455599,TNFAIP2
Myeloid,PCDHGA12,2.88572528239726,-0.12654006687172772,4.23819722341876,3.23872815014438e-4,0.007004661607393554,0.6940316997565521,3.595416648255333,NS,Bad_Myeloid,2.88572528239726,0.721431320599315,PCDHGA12
Myeloid,AF305872.2,2.948137670276013,0.19665866286256461,3.9859638725245956,3.791330898275113e-4,0.00764567752472247,0.003685883519196409,3.554198397161559,NS,Bad_Myeloid,2.948137670276013,0.7370344175690032,AF305872.2
Myeloid,POMK,2.9961120861911628,-4.6649073364535276e-4,4.34065348635631,1.4365969917937117e-4,0.004604199531609396,1.0049763371847895,3.801780974672556,NS,Bad_Myeloid,2.9961120861911628,0.7490280215477907,POMK
MONO,RNASE1,2.124817991176985,7.587345875439576,3.214856821483778,0.0034139155934395497,0.026742136975641057,-2.0640435519161686,2.927779957857556,NS,Bad_MONO,1.5234653306882215,0.7617326653441108,RNASE1
Myeloid,RNASE1,0.922112670199458,7.7499213600063,1.3957450242846323,0.17314311916172878,0.3362957478519918,-5.327641522771501,1.3621735559956862,NS,Bad_Myeloid,1.5234653306882215,0.7617326653441108,RNASE1
MONO,MRC1,2.559645984776777,6.046301349245379,4.451890151171651,1.147726705246863e-4,0.0040356848893728075,1.0007794687141924,3.8570308737282524,NS,Bad_MONO,1.5841904532537683,0.7920952266268841,MRC1
Myeloid,MRC1,0.6087349217307594,6.4680868905574265,1.1387614110072695,0.2634687531349494,0.4430335826017326,-5.601222917677262,1.1182300502530267,NS,Bad_Myeloid,1.5841904532537683,0.7920952266268841,MRC1
T Cells,ACBD3,1.65579058287892,5.744633215062077,6.036090705267659,1.6166029851110785e-6,5.099689588174691e-4,5.306917166492544,4.796253965939224,NS,Bad_T Cells,1.1284728455483188,0.8463546341612391,ACBD3
Myeloid,ACBD3,0.8773150374971648,5.674606785476547,5.080644339373727,1.6500784328103693e-5,0.0015773606906198518,2.983847045567259,4.30763706706682,NS,Bad_Myeloid,1.1284728455483188,0.8463546341612391,ACBD3
MONO,ACBD3,0.8523129162688718,5.915059474355745,3.547798499746756,0.001391315671331725,0.015919721907209708,-1.1317071072525575,3.1964466212517504,NS,Bad_MONO,1.1284728455483188,0.8463546341612391,ACBD3
Myeloid,UBE2M,1.6130455783680393,5.276764886242764,5.029004906076886,2.2842378010766636e-5,0.0018342675124194399,2.6326580298974793,4.235125810910822,NS,Bad_Myeloid,1.7197680166812135,0.8598840083406067,UBE2M
T Cells,UBE2M,1.8264904549943877,5.796952036541397,3.442838489802073,0.001710367506903776,0.017993489893972932,-1.3445297215537995,3.13639829050608,NS,Bad_T Cells,1.7197680166812135,0.8598840083406067,UBE2M
T Cells,TRAPPC10,1.8463635462624444,5.9985423852832405,4.573612487048455,6.63598661465917e-5,0.0031321105380556547,1.61318355226343,3.9889733838479526,NS,Bad_T Cells,1.7285695463184485,0.8642847731592243,TRAPPC10
Myeloid,TRAPPC10,1.6107755463744526,4.297780175470925,4.176688824863665,5.524961108157574e-4,0.009528343584960759,0.5570445039415208,3.453922506206443,NS,Bad_Myeloid,1.7285695463184485,0.8642847731592243,TRAPPC10
T Cells,UBE2Q1,2.1059234362368455,5.871802030974093,7.79666378545209,7.035899286728742e-9,7.768336402477204e-5,9.724916499003601,5.7900654721525795,NS,Bad_T Cells,1.1601220986476628,0.8700915739857471,UBE2Q1
Myeloid,UBE2Q1,1.233403156102713,5.246741227371171,6.253273595828981,7.771297001171082e-7,3.787433051740415e-4,5.372390018321898,4.941024930132159,NS,Bad_Myeloid,1.1601220986476628,0.8700915739857471,UBE2Q1
MONO,UBE2Q1,0.14103970360342988,5.692686812202642,0.6740602225862624,0.5057631917509271,0.6657211607382287,-6.107644266126422,0.6654492523847291,NS,Bad_MONO,1.1601220986476628,0.8700915739857471,UBE2Q1
Myeloid,AC092835.1,3.4938392156347176,-0.4095126545196313,5.613611736156237,3.5466969677509595e-6,6.930810835564309e-4,4.375739700973763,4.6363182894396004,NS,Bad_Myeloid,3.4938392156347176,0.8734598039086794,AC092835.1
Myeloid,SAP30,1.5878616792809481,5.080659586727058,4.141834976590482,2.5064286364695915e-4,0.0061496619056135016,0.38181601303937907,3.6616021722793723,NS,Bad_Myeloid,1.1701839497236541,0.8776379622927406,SAP30
