p_val	p_val_adj	cluster	gene	avg_log2FC.y	pct.1.y	pct.2.y	sd.1	sd.2	RNA.MTC.123	RNA.MTC.456	se	tstat	log2FC
0	0	MTC_456	CALM1	1.1309693271079087	1	1	0.5621276949153282	0.35298489979388126	1.5021971978525666	3.7968812438969324	0.005647371688910386	200.2647230266014	1.1309693271079087
0	0	MTC_456	FTL	1.1267693631048097	1	1	0.537043795197262	0.36086909755144475	38.46234385229815	87.29909111394845	0.005494566934321875	205.06973098579107	1.1267693631048097
0	0	MTC_456	PSME2	1.119328953961341	0.99	0.943	0.46931440769630706	0.3238466922022306	0.27907555322771316	1.008671223616017	0.004838469234829308	231.33947941715678	1.119328953961341
0	0	MTC_456	ANXA5	1.111482888859588	1	0.993	0.5340597051563458	0.33925449833706595	0.8371166688490348	2.223309547059267	0.005381395542257713	206.54175671191715	1.111482888859588
0	0	MTC_456	ELOC	1.1092393118506325	0.998	0.978	0.4499860802826153	0.335813554208682	0.41738902710487885	1.26320138210771	0.004753202994449256	233.3667030728524	1.1092393118506325
0	0	MTC_456	PLP2	1.1066956014490144	0.951	0.612	0.42299864178669944	0.18785275951915034	0.05495351577845124	0.4893322316532928	0.003968684844522194	278.8570130421263	1.1066956014490144
0	0	MTC_456	IBSP	1.1039431321795845	0.222	0.003	0.7221959945735994	0.07695080439058222	0.004446772292785125	0.6266386239014475	0.00629006793017938	175.50575676344124	1.1039431321795845
0	0	MTC_456	PPA1	1.1021777371885961	0.935	0.663	0.49893888065115655	0.3121685821104209	0.14288594998036774	0.7025463832344471	0.00500790263027234	220.0876931044998	1.1021777371885961
0	0	MTC_456	VMO1	1.0974973331557076	0.937	0.788	0.6889181981465907	0.31049663180277964	0.1618593688621327	0.8480042064148017	0.006477800588071546	169.4243776470487	1.0974973331557076
0	0	MTC_456	CLEC5A	1.0917855766929088	0.912	0.392	0.4993731605381859	0.3107995276094818	0.08417965169569529	0.5634372417937531	0.005005578480754918	218.11376664865531	1.0917855766929088
0	0	MTC_456	ADGRE2	1.084618484931421	0.906	0.503	0.46990328463215725	0.2550362109196701	0.07603771114312294	0.5242935476601976	0.0045655689205897155	237.56480381667865	1.084618484931421
0	0	MTC_456	EIF5A	1.0840095020056708	0.991	0.958	0.40967864889480693	0.33335511730228234	0.32495482519313545	1.1323638548786916	0.004458973781678369	243.10739535177237	1.0840095020056708
0	0	MTC_456	C1orf162	1.0762702811434737	0.994	0.928	0.3966998518510526	0.4468382738878627	0.44934660206887317	1.345632088935627	0.004989289775218243	215.71612987670076	1.0762702811434737
0	0	MTC_456	MYL6	1.063684686606373	1	1	0.501965793553194	0.32448924267152757	2.1342464318449665	5.297787125366139	0.005081359565160415	209.33072595361458	1.063684686606373
0	0	MTC_456	NOP10	1.0514860849279375	0.998	0.983	0.43498705561878026	0.31929445845531373	0.43912269215660804	1.2761992037857681	0.0045702710522868145	230.0708366961754	1.0514860849279375
0	0	MTC_456	IFI6	1.039632824893407	0.887	0.777	0.7547573988161947	0.36478020099298286	0.185452402775975	0.6502005558476849	0.007176454266836652	144.86719851301615	1.039632824893407
0	0	MTC_456	PHLDA1	1.0338682104560528	0.68	0.179	0.60648961064387	0.13043563114535767	0.016912400157129946	0.3418252835574386	0.005361272393817242	192.84008244914702	1.0338682104560528
0	0	MTC_456	HSP90B1	1.033463002909388	1	0.999	0.6314020853853846	0.5478337736125664	1.88673301034439	4.693445504394156	0.0070423724290123065	146.7492685635104	1.033463002909388
0	0	MTC_456	PIM1	1.0252331767360783	0.971	0.85	0.48568612753088053	0.3084519346278407	0.13191567369387244	0.6968527003680767	0.00489365946673871	209.50235375068428	1.0252331767360783
0	0	MTC_456	HCST	1.0249219748227625	1	0.996	0.4716316455204114	0.4526091017851173	1.2170014403561573	2.870754901224362	0.005488188951650444	186.75048979764833	1.0249219748227625
0	0	MTC_456	FLT1	1.016916725475649	0.83	0.405	0.586269049165708	0.18819680961062352	0.037336650517220946	0.35254863667092723	0.005304391758218755	191.71222108548324	1.016916725475649
0	0	MTC_456	PDIA4	1.0115660573753746	0.972	0.893	0.47371637987114906	0.3138573183273715	0.1787822443368041	0.7930053331330427	0.004827580538085504	209.53892936533714	1.0115660573753746
0	0	MTC_456	GPR84	1.0105627174711005	0.941	0.696	0.4954366055351218	0.2613232350057393	0.10136702893807407	0.5476361451213362	0.0047862730669025475	211.13770638353685	1.0105627174711005
0	0	MTC_456	PDIA6	1.0085080651838971	0.997	0.986	0.5267378661250249	0.45235391144358844	0.7739007463663787	2.1550514534665397	0.005851292865674523	172.35644981985342	1.0085080651838971
0	0	MTC_456	SERF2	1.0002195329362777	1	1	0.5382929889182959	0.3210195413296736	2.3454576404347276	5.652126492901694	0.005339675443181688	187.31841355891268	1.0002195329362777
0	0	MTC_456	MPP1	0.9978318165564086	0.965	0.8	0.46556785368050557	0.2325962005863657	0.12090611496662437	0.5355967850972799	0.004452344072320485	224.1138151832807	0.9978318165564086
0	0	MTC_456	NME2	0.9965561151033637	1	0.992	0.4525501457558787	0.4174704575887002	1.045009820610189	2.4649109892586067	0.0051762849424615695	192.52342677825112	0.9965561151033637
0	0	MTC_456	POLR2L	0.9918715056992851	0.995	0.963	0.46891053763193197	0.3405928268505662	0.2890768626424052	0.9719642454743479	0.004910275085201241	201.99917285461706	0.9918715056992851
